Location,2008__White,2008__Black,2008__Hispanic,2008__Asian/Native Hawaiian and Pacific Islander,2008__American Indian/Alaska Native,2008__Multiple Races,2008__Total,2009__White,2009__Black,2009__Hispanic,2009__Asian/Native Hawaiian and Pacific Islander,2009__American Indian/Alaska Native,2009__Multiple Races,2009__Total,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total
United States,0.125,0.195,0.33,0.156,0.338,0.16,0.17,0.127,0.197,0.327,0.159,0.308,0.14,0.17,0.131,0.199,0.326,0.167,0.32,0.15,0.18,0.128,0.193,0.313,0.168,0.298,0.14,0.17,0.125,0.189,0.305,0.163,0.302,0.14,0.17,0.123,0.188,0.3,0.158,0.304,0.14,0.17,0.098,0.149,0.248,0.113,0.256,0.1,0.14,0.077,0.121,0.206,0.084,0.233,0.08,0.11,0.071,0.107,0.191,0.072,0.22,0.08,0.1,0.0733,0.1112,0.1889,0.072,0.2205,0.0789,0.1,0.07531,0.11457,0.18976,0.06843,0.21785,0.08071,0.10423,0.07848,0.11392,0.19967,0.0736,0.21701,0.08241,0.10862
Alabama,0.138,0.18,0.444,0.249,0.202,0.15,0.16,0.133,0.195,0.402,0.203,0.095,0.17,0.16,0.14,0.19,0.507,0.223,0.171,0.16,0.17,0.136,0.185,0.449,0.141,0.183,0.15,0.16,0.127,0.187,0.37,0.142,0.206,0.14,0.15,0.134,0.186,0.392,0.136,0.164,0.12,0.16,0.121,0.16,0.32,0.176,0.122,0.1,0.14,0.104,0.132,0.291,0.102,N/A,0.11,0.12,0.09,0.125,0.278,0.121,0.125,0.1,0.11,0.0985,0.121,0.2786,0.1235,N/A,0.0959,0.11,0.10095,0.13927,0.29723,0.09111,N/A,0.12581,0.122,0.10096,0.12536,0.26405,0.09658,N/A,0.09047,0.11598
Alaska,0.169,N/A,0.269,0.229,0.445,0.29,0.22,0.175,0.197,0.249,0.248,0.435,0.23,0.22,0.146,0.131,0.225,0.258,0.358,0.23,0.19,0.16,N/A,0.184,0.282,0.433,0.28,0.22,0.173,N/A,0.217,0.293,0.39,0.28,0.22,0.164,0.199,0.159,0.195,0.382,0.25,0.2,0.13,0.226,0.318,0.175,0.385,0.21,0.19,0.122,0.152,0.125,0.112,0.311,0.27,0.16,0.119,N/A,0.135,0.203,0.323,0.16,0.16,0.1153,N/A,0.0868,0.2341,0.2835,0.202,0.16,0.11167,N/A,0.11165,0.10294,0.23517,0.15282,0.13547,0.08988,N/A,0.20344,N/A,0.22206,0.18191,0.12943
Arizona,0.133,0.169,0.333,0.114,0.412,0.14,0.21,0.137,0.182,0.292,0.167,0.319,0.13,0.2,0.137,0.152,0.288,0.129,0.331,0.16,0.2,0.136,0.196,0.291,0.175,0.29,0.18,0.2,0.143,0.17,0.298,0.152,0.301,0.17,0.2,0.143,0.198,0.294,0.168,0.308,0.16,0.2,0.109,0.115,0.238,0.119,0.269,0.14,0.16,0.083,0.082,0.199,0.072,0.254,0.09,0.13,0.071,0.088,0.185,0.084,0.222,0.09,0.12,0.0815,0.0875,0.1765,0.0546,0.2218,0.0714,0.12,0.0818,0.11455,0.186,0.07128,0.24599,0.09344,0.12744,0.08634,0.11122,0.1941,0.09178,0.26356,0.09104,0.13414
Arkansas,0.19,0.209,0.39,0.188,0.274,0.24,0.21,0.177,0.186,0.369,0.279,0.214,0.18,0.19,0.182,0.219,0.377,0.239,0.26,0.2,0.2,0.183,0.189,0.328,0.328,0.152,0.23,0.2,0.181,0.201,0.294,0.193,0.317,0.1,0.19,0.172,0.204,0.337,0.179,0.215,0.16,0.19,0.124,0.135,0.307,N/A,N/A,0.1,0.14,0.094,0.103,0.269,0.132,0.149,0.09,0.11,0.082,0.071,0.236,0.123,0.136,0.11,0.09,0.0755,0.0797,0.252,0.149,0.1496,0.142,0.1,0.07907,0.09768,0.24474,0.10603,0.10196,0.11652,0.09869,0.09256,0.09061,0.26141,0.11754,0.31725,0.08495,0.10917
California,0.117,0.172,0.301,0.152,0.23,0.13,0.2,0.122,0.174,0.304,0.154,0.24,0.13,0.2,0.127,0.169,0.307,0.164,0.25,0.13,0.21,0.131,0.166,0.292,0.165,0.244,0.13,0.2,0.129,0.173,0.287,0.158,0.277,0.14,0.2,0.121,0.164,0.278,0.155,0.234,0.12,0.19,0.088,0.104,0.208,0.099,0.202,0.09,0.14,0.057,0.071,0.148,0.064,0.141,0.05,0.1,0.046,0.065,0.13,0.054,0.136,0.05,0.08,0.0489,0.0634,0.1238,0.0529,0.1174,0.0479,0.08,0.05071,0.06401,0.12241,0.04757,0.13837,0.05283,0.08185,0.05108,0.06392,0.13672,0.0565,0.14131,0.05138,0.08956
Colorado,0.136,0.208,0.355,0.164,0.358,0.16,0.19,0.126,0.207,0.337,0.132,0.245,0.12,0.17,0.132,0.213,0.312,0.186,0.272,0.13,0.18,0.131,0.192,0.286,0.217,0.24,0.13,0.17,0.123,0.173,0.288,0.145,0.257,0.16,0.16,0.123,0.164,0.271,0.118,0.329,0.1,0.16,0.088,0.113,0.218,0.101,0.143,0.1,0.12,0.064,0.073,0.176,0.091,0.254,0.06,0.09,0.06,0.067,0.175,0.073,0.156,0.05,0.09,0.0623,0.0849,0.1561,0.0554,0.196,0.0793,0.09,0.06412,0.08931,0.1613,0.05664,0.09153,0.06856,0.08796,0.06834,0.08623,0.15551,0.0798,0.15175,0.07156,0.09061
Connecticut,0.074,0.129,0.219,0.112,N/A,0.12,0.1,0.076,0.136,0.218,0.082,N/A,0.12,0.1,0.069,0.142,0.227,0.126,N/A,0.14,0.1,0.068,0.116,0.219,0.118,N/A,0.11,0.1,0.075,0.155,0.216,0.108,0.332,0.08,0.11,0.081,0.144,0.204,0.108,N/A,0.1,0.11,0.056,0.099,0.174,0.073,N/A,0.08,0.08,0.041,0.082,0.173,0.066,N/A,0.09,0.07,0.036,0.063,0.129,0.06,N/A,0.08,0.06,0.041,0.0746,0.1484,0.0587,N/A,0.0763,0.07,0.03922,0.07315,0.13955,0.05788,N/A,0.05708,0.06308,0.04774,0.0696,0.14351,0.05798,N/A,0.1091,0.07077
Delaware,0.091,0.155,0.295,N/A,N/A,0.14,0.12,0.106,0.1,0.307,N/A,0.503,N/A,0.12,0.102,0.097,0.239,N/A,N/A,N/A,0.12,0.087,0.089,0.261,N/A,N/A,0.09,0.1,0.082,0.087,0.219,0.157,N/A,N/A,0.1,0.104,0.105,0.218,0.189,N/A,N/A,0.12,0.075,0.075,0.199,N/A,N/A,N/A,0.09,0.055,0.058,0.161,0.043,N/A,N/A,0.06,0.052,0.064,0.166,N/A,N/A,0.09,0.07,0.0464,0.0631,0.1876,N/A,N/A,N/A,0.07,0.05436,0.0538,0.18723,N/A,N/A,N/A,0.06947,0.06658,0.08404,0.16923,N/A,N/A,N/A,0.0818
District of Columbia,0.042,0.093,0.207,N/A,N/A,N/A,0.09,0.045,0.085,0.156,0.11,N/A,N/A,0.08,0.054,0.097,0.161,N/A,N/A,N/A,0.09,0.049,0.094,0.178,N/A,N/A,N/A,0.09,0.024,0.077,0.121,N/A,N/A,N/A,0.06,0.036,0.085,0.112,N/A,N/A,N/A,0.07,0.024,0.06,0.17,N/A,N/A,N/A,0.06,0.02,0.043,0.113,N/A,N/A,N/A,0.04,0.015,0.05,0.12,N/A,N/A,N/A,0.04,0.0257,0.0381,0.0834,N/A,N/A,N/A,0.04,0.01078,0.05048,0.05994,N/A,N/A,N/A,0.0353,0.01444,0.05499,0.06791,N/A,N/A,N/A,0.03985
Florida,0.191,0.278,0.377,0.247,0.274,0.22,0.25,0.188,0.283,0.377,0.244,0.286,0.21,0.25,0.193,0.279,0.38,0.258,0.28,0.21,0.26,0.194,0.267,0.364,0.238,0.298,0.2,0.25,0.182,0.263,0.352,0.251,0.323,0.18,0.24,0.189,0.26,0.348,0.23,0.359,0.18,0.24,0.161,0.206,0.284,0.185,0.275,0.14,0.2,0.128,0.174,0.226,0.141,0.224,0.14,0.16,0.121,0.154,0.215,0.12,0.204,0.14,0.15,0.1282,0.168,0.2146,0.1189,0.2082,0.1151,0.16,0.13216,0.17188,0.21281,0.12634,0.27231,0.13652,0.16258,0.13334,0.17304,0.21158,0.13593,0.20584,0.13866,0.16346
Georgia,0.155,0.222,0.495,0.264,0.236,0.2,0.21,0.152,0.231,0.504,0.251,0.296,0.18,0.21,0.164,0.231,0.486,0.272,0.27,0.18,0.22,0.169,0.226,0.452,0.284,0.325,0.18,0.22,0.161,0.216,0.42,0.252,0.323,0.21,0.21,0.161,0.222,0.44,0.253,0.226,0.18,0.21,0.136,0.188,0.381,0.173,0.185,0.14,0.18,0.121,0.159,0.354,0.128,0.233,0.12,0.16,0.118,0.142,0.334,0.124,0.139,0.09,0.15,0.118,0.1503,0.3361,0.1368,0.2086,0.1506,0.15,0.12814,0.15358,0.33883,0.12113,N/A,0.12631,0.15884,0.12448,0.14836,0.34238,0.09953,0.21403,0.11951,0.15512
Hawaii,0.108,N/A,0.083,0.072,N/A,0.06,0.08,0.095,N/A,0.072,0.076,N/A,0.07,0.08,0.114,N/A,0.086,0.083,N/A,0.07,0.09,0.114,N/A,0.09,0.071,N/A,0.08,0.08,0.093,N/A,0.08,0.077,N/A,0.06,0.08,0.1,N/A,0.062,0.08,N/A,0.08,0.08,0.066,N/A,0.066,0.057,N/A,0.05,0.06,0.055,N/A,0.058,0.044,N/A,0.03,0.05,0.04,N/A,0.051,0.044,N/A,0.03,0.04,0.0521,N/A,0.0436,0.046,N/A,0.0382,0.05,0.03977,N/A,0.0697,0.04643,N/A,0.03729,0.04623,0.06176,N/A,0.05024,0.05204,N/A,0.034,0.0494
Idaho,0.167,N/A,0.41,N/A,0.374,0.18,0.2,0.17,N/A,0.349,N/A,0.411,0.13,0.19,0.183,0.378,0.329,0.206,0.359,0.17,0.2,0.159,N/A,0.323,N/A,0.328,0.12,0.18,0.16,N/A,0.333,0.179,0.365,0.16,0.18,0.167,N/A,0.298,N/A,0.27,0.22,0.19,0.126,N/A,0.325,0.212,0.259,0.12,0.16,0.11,N/A,0.256,N/A,0.3,N/A,0.13,0.098,N/A,0.249,N/A,0.283,0.08,0.12,0.106,N/A,0.2364,0.0817,0.241,0.1278,0.13,0.11399,N/A,0.23446,0.10022,0.1863,0.1496,0.13237,0.10918,N/A,0.20267,N/A,0.29741,0.09415,0.1242
Illinois,0.097,0.188,0.279,0.144,0.148,0.15,0.14,0.104,0.211,0.274,0.152,0.146,0.1,0.15,0.109,0.212,0.289,0.171,0.179,0.11,0.16,0.099,0.201,0.267,0.144,0.186,0.11,0.15,0.102,0.196,0.266,0.152,0.176,0.11,0.15,0.096,0.199,0.268,0.142,0.186,0.11,0.14,0.074,0.141,0.217,0.108,N/A,0.09,0.11,0.049,0.088,0.183,0.082,N/A,0.04,0.08,0.047,0.077,0.163,0.066,0.169,0.06,0.07,0.0511,0.0829,0.1672,0.0582,N/A,0.0688,0.08,0.05369,0.09674,0.16172,0.0734,N/A,0.06258,0.08202,0.05901,0.10202,0.16278,0.06824,N/A,0.05718,0.08583
Indiana,0.141,0.2,0.308,0.144,0.276,0.18,0.16,0.141,0.211,0.327,0.208,0.272,0.16,0.16,0.156,0.214,0.296,0.16,0.328,0.17,0.17,0.15,0.217,0.304,0.158,0.314,0.14,0.17,0.149,0.202,0.314,0.21,0.207,0.16,0.17,0.146,0.198,0.291,0.226,0.307,0.15,0.16,0.126,0.174,0.243,0.169,0.157,0.13,0.14,0.099,0.133,0.253,0.109,0.204,0.11,0.11,0.084,0.094,0.208,0.068,0.128,0.08,0.09,0.0842,0.1211,0.212,0.0812,0.1813,0.097,0.1,0.08388,0.12573,0.21219,0.09993,N/A,0.09253,0.09904,0.09257,0.11534,0.18982,0.09135,N/A,0.10837,0.10333
Iowa,0.089,0.142,0.24,0.158,N/A,0.19,0.1,0.089,0.212,0.299,0.062,N/A,0.09,0.1,0.093,0.171,0.289,0.142,0.334,0.13,0.11,0.093,0.158,0.262,0.098,0.258,0.06,0.1,0.087,0.145,0.228,0.146,0.513,0.09,0.1,0.093,0.15,0.204,0.08,0.312,0.14,0.1,0.061,0.117,0.14,N/A,N/A,N/A,0.07,0.045,0.124,0.158,0.121,N/A,0.04,0.06,0.04,N/A,0.149,N/A,N/A,N/A,0.05,0.0429,0.0505,0.1196,0.1089,N/A,N/A,0.05,0.0467,0.18481,0.13108,0.06168,N/A,0.0521,0.059,0.04531,0.07899,0.14745,0.0645,0.25914,N/A,0.0564
Kansas,0.114,0.223,0.316,0.174,0.232,0.14,0.14,0.112,0.232,0.351,0.131,0.222,0.17,0.15,0.129,0.212,0.307,0.163,0.243,0.16,0.16,0.115,0.18,0.298,0.181,0.233,0.19,0.15,0.118,0.163,0.293,0.135,0.244,0.19,0.15,0.115,0.199,0.282,0.144,0.161,0.16,0.14,0.095,0.177,0.27,0.088,0.268,0.1,0.12,0.076,0.178,0.247,0.135,0.2,0.1,0.11,0.073,0.177,0.208,0.074,0.099,0.09,0.1,0.0803,0.1218,0.1981,0.0931,0.1227,0.1079,0.1,0.08038,0.12645,0.22957,0.08391,0.10548,0.0514,0.10229,0.07877,0.1765,0.23897,0.08167,0.13564,0.1509,0.10948
Kentucky,0.152,0.201,0.359,0.106,N/A,0.12,0.16,0.156,0.197,0.385,0.137,0.196,0.17,0.17,0.165,0.198,0.396,0.209,N/A,0.18,0.18,0.157,0.228,0.336,0.108,N/A,0.12,0.17,0.15,0.192,0.303,0.18,N/A,0.16,0.16,0.158,0.185,0.363,0.162,0.378,0.19,0.17,0.091,0.133,0.306,0.116,N/A,0.08,0.1,0.063,0.061,0.255,0.129,N/A,0.07,0.07,0.054,0.056,0.215,0.075,N/A,N/A,0.06,0.0558,0.0716,0.2107,0.1205,N/A,0.0618,0.06,0.05758,0.06471,0.24428,0.07192,N/A,0.05503,0.06605,0.06936,0.0858,0.20209,0.07926,N/A,0.05178,0.07621
Louisiana,0.164,0.249,0.345,0.29,0.328,0.21,0.2,0.154,0.255,0.334,0.223,0.254,0.17,0.2,0.165,0.239,0.405,0.26,0.206,0.17,0.2,0.16,0.235,0.424,0.331,0.312,0.11,0.2,0.153,0.228,0.368,0.269,0.201,0.18,0.19,0.152,0.228,0.41,0.247,0.2,0.16,0.19,0.131,0.2,0.355,0.184,0.249,0.12,0.17,0.113,0.162,0.294,0.132,0.218,0.13,0.14,0.094,0.126,0.331,0.121,0.194,0.1,0.12,0.0788,0.0947,0.2791,0.0991,0.2002,0.0944,0.1,0.07749,0.08462,0.29373,0.1147,0.12757,0.0783,0.09267,0.08657,0.09883,0.29075,0.19866,N/A,0.0989,0.10449
Maine,0.125,N/A,N/A,N/A,N/A,0.12,0.13,0.12,N/A,N/A,N/A,N/A,0.22,0.12,0.128,N/A,0.14,N/A,N/A,N/A,0.13,0.134,N/A,0.156,N/A,N/A,N/A,0.13,0.123,N/A,N/A,N/A,N/A,N/A,0.12,0.131,N/A,0.248,N/A,N/A,0.13,0.13,0.121,N/A,0.133,N/A,N/A,0.12,0.12,0.103,N/A,0.17,N/A,0.252,0.1,0.11,0.096,N/A,0.166,N/A,N/A,N/A,0.1,0.0956,N/A,N/A,N/A,0.1675,N/A,0.1,0.09527,N/A,N/A,N/A,N/A,0.12194,0.09883,0.09784,0.10477,0.10317,N/A,N/A,0.20924,0.10224
Maryland,0.084,0.143,0.352,0.138,0.141,0.11,0.12,0.086,0.138,0.339,0.153,N/A,0.1,0.13,0.081,0.139,0.357,0.146,N/A,0.1,0.13,0.076,0.122,0.314,0.131,N/A,0.1,0.12,0.073,0.117,0.346,0.129,N/A,0.08,0.12,0.074,0.117,0.299,0.161,N/A,0.08,0.12,0.055,0.085,0.278,0.087,N/A,0.06,0.09,0.04,0.079,0.239,0.078,N/A,0.06,0.08,0.043,0.064,0.222,0.056,N/A,0.05,0.07,0.0403,0.064,0.2386,0.0553,N/A,0.035,0.07,0.0346,0.07213,0.22071,0.05104,N/A,0.0357,0.06895,0.03803,0.06175,0.21364,0.06563,N/A,0.05445,0.06865
Massachusetts,0.039,0.065,0.089,0.044,N/A,0.1,0.05,0.04,0.065,0.105,0.061,N/A,0.07,0.05,0.04,0.076,0.103,0.039,N/A,0.09,0.05,0.037,0.081,0.098,0.047,N/A,0.07,0.05,0.037,0.08,0.079,0.034,N/A,0.07,0.04,0.035,0.074,0.084,0.036,N/A,0.06,0.04,0.031,0.075,0.072,0.032,N/A,0.05,0.04,0.025,0.054,0.057,0.041,N/A,0.03,0.03,0.023,0.044,0.051,0.031,N/A,0.03,0.03,0.0242,0.0519,0.0553,0.0354,N/A,0.0549,0.03,0.0255,0.04561,0.05441,0.02936,N/A,0.04214,0.032,0.03,0.05549,0.05776,0.0277,N/A,0.03507,0.03593
Michigan,0.116,0.178,0.25,0.124,0.173,0.13,0.13,0.13,0.175,0.248,0.113,0.23,0.14,0.14,0.133,0.173,0.236,0.125,0.158,0.14,0.14,0.124,0.184,0.207,0.151,0.205,0.11,0.14,0.123,0.175,0.2,0.117,0.242,0.14,0.13,0.114,0.185,0.201,0.12,0.232,0.12,0.13,0.088,0.126,0.164,0.116,0.172,0.09,0.1,0.063,0.086,0.143,0.078,0.083,0.05,0.07,0.056,0.073,0.128,0.074,0.11,0.05,0.06,0.054,0.0721,0.1236,0.0442,0.1538,0.0584,0.06,0.05974,0.07161,0.11715,0.04244,0.12004,0.05531,0.06435,0.06381,0.07062,0.13157,0.05386,0.15677,0.07292,0.06925
